routine_id,routine_name,routine_emoji,routine_note,ex_id,ex_name,musculo,bloque,series,reps_target,weight_ref,descanso,tags,notas
leg2,Leg 2,🦵,Press pierna + hip thrust. Biserie extensión/femoral al final. Revisar press unilateral en video.,l2f,Femoral acostado,Femoral,Accesorio,3,8·8 drop,,60s,biserie-b|dropset,
leg2,Leg 2,🦵,Press pierna + hip thrust. Biserie extensión/femoral al final. Revisar press unilateral en video.,l2g,Extensión pantorrilla máquina sentado,Pantorrilla,Finisher,3,10·10,,60s,,No costurera.
upper,Upper,🔝,Todo dropset excepto las últimas series de bíceps tríceps y curl antebrazo.,u1,Press militar,Hombro,Principal,4,8·8 drop,,90s,dropset,
upper,Upper,🔝,Todo dropset excepto las últimas series de bíceps tríceps y curl antebrazo.,u2,Jalón con triángulo,Espalda,Principal,4,8·8 drop,,90s,dropset,
upper,Upper,🔝,Todo dropset excepto las últimas series de bíceps tríceps y curl antebrazo.,u3,Press inclinado,Pecho,Accesorio,4,8·8 drop,,60s,dropset,
upper,Upper,🔝,Todo dropset excepto las últimas series de bíceps tríceps y curl antebrazo.,u4,Curl predicador,Bíceps,Accesorio,4,8·8 drop,,60s,dropset,
upper,Upper,🔝,Todo dropset excepto las últimas series de bíceps tríceps y curl antebrazo.,u5,Extensión tríceps unilateral,Tríceps,Accesorio,4,8·8 drop,,60s,dropset,
upper,Upper,🔝,Todo dropset excepto las últimas series de bíceps tríceps y curl antebrazo.,u6,Curl bayasian banco,Bíceps,Finisher,2,10-12,,60s,,
upper,Upper,🔝,Todo dropset excepto las últimas series de bíceps tríceps y curl antebrazo.,u7,Francés mancuerna/barra,Tríceps,Finisher,2,10-12,,60s,,
upper,Upper,🔝,Todo dropset excepto las últimas series de bíceps tríceps y curl antebrazo.,u8,Curl antebrazo,Antebrazo,Finisher,3,fallo,,45s,,
upper,Upper,🔝,Todo dropset excepto las últimas series de bíceps tríceps y curl antebrazo.,u9,Crunch / Crunch invertido,Abdomen,Finisher,3,fallo,,45s,,
